"City","State","RANK","Population","X2","X3","X4","X5","X6","X7"
"1","New York city","New York",1,8175133,8174959,8191853,8287238,8365903,8438379,8491079
"2","Los Angeles city","California",2,3792621,3792657,3796290,3826423,3861678,3897940,3928864
"3","Chicago city","Illinois",3,2695598,2695598,2697319,2705627,2715415,2722307,2722389
"4","Houston city","Texas",4,2099451,2096661,2102421,2129784,2164834,2203806,2239558
"5","Philadelphia city","Pennsylvania",5,1526006,1526006,1528544,1539313,1550396,1556052,1560297
"6","Phoenix city","Arizona",6,1445632,1447617,1449583,1465114,1489531,1512442,1537058
"7","San Antonio city","Texas",7,1327407,1327556,1333994,1359174,1385553,1411766,1436697
"8","San Diego city","California",8,1307402,1301621,1306133,1321016,1339644,1359844,1381069
"9","Dallas city","Texas",9,1197816,1197792,1200648,1219399,1243243,1260725,1281047
"10","San Jose city","California",10,945942,952560,955453,971495,985286,1003821,1015785
"11","Austin city","Texas",11,790390,811458,816022,839714,865571,887124,912791
"12","Jacksonville city","Florida",12,821784,821784,823334,829543,837444,844014,853382
"13","San Francisco city","California",13,805235,805195,805825,816239,829691,841138,852469
"14","Indianapolis city (balance)","Indiana",14,820445,820441,821671,827346,834520,843375,848788
"15","Columbus city","Ohio",15,787033,788654,790425,799270,810607,823536,835957
"16","Fort Worth city","Texas",16,741206,742060,745879,761895,778728,794055,812238
"17","Charlotte city","North Carolina",17,731424,735758,738746,756204,774969,793951,809958
"18","Detroit city","Michigan",18,713777,713862,711195,702149,696746,686674,680250
"19","El Paso city","Texas",19,649121,649133,651676,665503,675829,676791,679036
"20","Seattle city","Washington",20,608660,608658,610298,622175,635063,653404,668342
"21","Denver city","Colorado",21,600158,600025,603365,619390,633868,648401,663862
"22","Washington city","District of Columbia",22,601723,601767,605210,620427,635040,649111,658893
"23","Memphis city","Tennessee",23,646889,651858,652597,655975,659727,658508,656861
"24","Boston city","Massachusetts",24,617594,617680,620598,630645,640839,649917,655884
"25","Nashville-Davidson metropolitan government (balance)","Tennessee",25,601222,603506,604843,612243,625318,634870,644014
"26","Baltimore city","Maryland",26,620961,621121,621317,620889,622950,623404,622793
"27","Oklahoma City city","Oklahoma",27,579999,580008,582098,589896,599887,611030,620602
"28","Portland city","Oregon",28,583776,583789,585261,593859,602954,609520,619360
"29","Las Vegas city","Nevada",29,583756,584240,584670,588257,596384,603670,613599
"30","Louisville/Jefferson County metro government (balance)","Kentucky",30,597337,597265,598171,601709,605606,610475,612780
"31","Milwaukee city","Wisconsin",31,594833,594738,595064,597435,598768,599503,599642
"32","Albuquerque city","New Mexico",32,545852,546360,547085,551813,554925,556833,557169
"33","Tucson city","Arizona",33,520116,520561,521215,524192,525273,526522,527972
"34","Fresno city","California",34,494665,496080,497030,501357,506064,510288,515986
"35","Sacramento city","California",35,466488,466488,467539,471625,475617,480224,485199
"36","Long Beach city","California",36,462257,462257,462769,465825,469141,471480,473577
"37","Kansas City city","Missouri",37,459787,459787,460651,462035,464472,467253,470800
"38","Mesa city","Arizona",38,439041,439865,440228,444954,452198,458347,464704
"39","Atlanta city","Georgia",39,420003,420256,422806,432135,444032,448409,456002
"40","Virginia Beach city","Virginia",40,437994,437966,439073,442984,445769,449308,450980
"41","Omaha city","Nebraska",41,408958,423327,424687,429604,435371,441047,446599
"42","Colorado Springs city","Colorado",42,416427,417341,420455,427416,433630,440137,445830
"43","Raleigh city","North Carolina",43,403892,403971,406295,414135,423411,431717,439896
"44","Miami city","Florida",44,399457,399508,401136,412438,416917,421363,430332
"45","Oakland city","California",45,390724,390905,391716,396649,401867,407667,413775
"46","Minneapolis city","Minnesota",46,382578,382599,383062,388253,392966,400647,407207
"47","Tulsa city","Oklahoma",47,391906,391922,392422,392751,394510,398404,399682
"48","Cleveland city","Ohio",48,396815,396697,395994,392505,391406,391156,389521
"49","Wichita city","Kansas",49,382368,382386,382821,383696,385577,387052,388413
"50","New Orleans city","Louisiana",50,343829,343829,347987,360877,370167,379006,384320
"51","Arlington city","Texas",51,365438,365361,366251,370908,376394,379843,383204
"52","Bakersfield city","California",52,347483,347587,348944,353533,358050,363999,368759
"53","Tampa city","Florida",53,335709,335715,336885,346934,349069,352999,358699
"54","Aurora city","Colorado",54,325078,324688,325977,332633,339302,346201,353108
"55","Urban Honolulu CDP","Hawaii",55,337256,337256,338671,342179,345661,348782,350399
"56","Anaheim city","California",56,336265,336440,337280,340830,343606,345923,346997
"57","Santa Ana city","California",57,324528,324782,325513,328856,331684,335388,334909
"58","Corpus Christi city","Texas",58,305215,305215,305333,308069,312419,317111,320434
"59","Riverside city","California",59,303871,303987,305656,310025,313284,316932,319504
"60","St. Louis city","Missouri",60,319294,319365,319258,319188,319274,318496,317419
"61","Lexington-Fayette urban county","Kentucky",61,295803,295803,296695,301213,305251,308411,310797
"62","Pittsburgh city","Pennsylvania",62,305704,305702,305656,306099,306373,306726,305412
"63","Stockton city","California",63,291707,291731,292598,295386,297451,298280,302389
"64","Anchorage municipality","Alaska",64,291826,291826,293337,296282,298633,301629,301010
"65","Cincinnati city","Ohio",65,296943,296950,296918,296114,296801,297618,298165
"66","St. Paul city","Minnesota",66,285068,285068,285468,288884,291244,295431,297640
"67","Greensboro city","North Carolina",67,269666,268877,269521,272521,276372,279782,282586
"68","Toledo city","Ohio",68,287208,287206,287028,285549,283450,282633,281031
"69","Newark city","New Jersey",69,277140,277149,277522,277854,278289,279468,280579
"70","Plano city","Texas",70,259841,259841,261249,267620,272950,275414,278480
"71","Henderson city","Nevada",71,257729,257354,257914,259958,265188,270703,277440
"72","Lincoln city","Nebraska",72,258379,258468,259102,262389,265568,268955,272996
"73","Orlando city","Florida",73,238300,238834,239453,243787,250136,255432,262372
"74","Jersey City city","New Jersey",74,247597,247643,248714,253117,256681,258662,262146
"75","Chula Vista city","California",75,243916,243916,244745,248684,253046,257646,260988
"76","Buffalo city","New York",76,261310,261325,261146,260525,259843,259560,258703
"77","Fort Wayne city","Indiana",77,253691,253700,253821,254607,254893,256864,258522
"78","Chandler city","Arizona",78,236123,236167,236688,239977,244818,250394,254276
"79","St. Petersburg city","Florida",79,244769,245193,245368,246042,247362,249679,253693
"80","Laredo city","Texas",80,236091,236058,237032,241188,245461,249297,252309
"81","Durham city","North Carolina",81,228330,228404,229195,234089,239781,245578,251893
"82","Irvine city","California",82,212375,211906,213366,220528,229680,237111,248531
"83","Madison city","Wisconsin",83,233209,233059,233515,236923,239932,243212,245691
"84","Norfolk city","Virginia",84,242803,242831,242943,243723,246150,245480,245428
